sku_code,material,box_code,bursting_factor,flute_type,inner_height_mm,height_inch,inner_height,length_inch,updated_at,quantity,status,company_id,per_unit
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,20650,3,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2018-03-19,17236,3,4606,4.63953244
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,2000,3,7746,4.06
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2018-03-19,26550,3,4606,4.639910457
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2018-03-19,25850,3,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2018-03-19,25000,4,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2018-03-19,69800,3,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2018-03-19,44650,3,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,1950,4,7746,3.87
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2018-03-19,15100,3,4606,4.9
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,4325,3,7746,3.87
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,3150,4,7746,3.87
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,1,8,7746,4.06
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2018-03-19,14850,3,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,5000,8,7746,3.82
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2018-03-19,24300,3,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2018-03-19,10000,3,4606,4.29
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,13988,3,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,3,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10392,3,9508,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2018-03-19,1350,3,4606,4.29
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,8,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,23050,3,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,3,7746,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,20000,4,9508,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,2000,3,9508,4.4
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,3,9508,4.4
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,3,9508,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,11000,3,7746,4.06
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,50147,3,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,8700,3,9508,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10500,3,9508,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2018-03-19,44150,3,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,25000,3,9508,4.35
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,2250,3,7746,4.06
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,1450,4,7746,4.06
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,20000,3,9508,4.4
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,8000,8,9508,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,1450,3,7746,4.06
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,3,9508,4.5
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,7,9508,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,15000,3,9508,4.4
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,6,7746,4.06
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,8000,6,7746,4.06
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,8,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,2350,3,7746,3.82
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,500,3,7746,3.82
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,3000,3,9508,4.5
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,3300,3,9508,4.4
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,33000,8,9508,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,3000,3,9508,4.4
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,2500,3,7746,3.82
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,32000,3,9508,4.35
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,15000,8,4606,4.3
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,5000,8,7746,3.82
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,15000,8,4606,4.3
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,3600,3,7746,3.82
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,29000,3,9508,4.35
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,17258,3,7746,3.82
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,29000,3,9508,4.4
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,6000,7,4606,4.3
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,3000,7,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,30000,3,9508,4.35
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,15000,8,7746,3.82
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,950,8,7746,3.82
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,12000,1,4606,4.02
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,1,8,7746,3.82
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,15000,3,7746,3.82
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,20000,3,7746,3.82
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,2000,3,7746,3.82
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,8,9508,4.35
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,30000,3,9508,4.35
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,3,9508,4.35
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,20000,8,9508,4.35
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,650,3,7746,4.06
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,16945,7,7746,4.06
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,29600,3,9508,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,15000,8,9508,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,18000,3,7746,3.82
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,5000,8,9508,4.5
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,3,7746,4.06
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,1,9508,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,1,9508,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,4,9508,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,20000,1,9508,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,25000,1,9508,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,31000,3,7746,3.75
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,5000,3,9508,4.35
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,50000,1,4606,4.02
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,3,9508,4.73
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,10000,1,4606,4.02
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,22000,1,9508,4.35
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker & Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2018-08-22,1087,3,9508,56
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker Big - Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2019-06-12,825,3,4606,54.65
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker Big - Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2019-06-12,825,3,4606,54.65
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker & Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2018-08-22,200,3,9508,55
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker & Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2018-08-22,300,3,9508,55
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker Big - Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2019-06-12,825,3,4606,57.92038027
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker & Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2018-08-22,500,4,9508,55
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker & Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2018-08-22,890,3,9508,56
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker & Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2018-08-22,504,3,9508,55
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker & Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2018-08-22,300,3,9508,55
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker & Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2018-08-22,300,3,9508,55
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker & Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2018-08-22,50,3,9508,55
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker & Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2018-08-22,600,3,9508,55
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker & Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2018-08-22,300,3,9508,48.21
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker & Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2018-08-22,900,8,9508,48.21
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker & Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2018-08-22,376,3,9508,48.21
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker & Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2018-08-22,600,6,9508,55
BZ-SKU-0000493,"""Top paper golden Kraft rest brown Kraft""","""Walker & Bath Tub""","""24x18x18x18x18""","""BC""","""860""","""33.9""","""640""","""25.2""",2018-08-22,400,8,9508,55
